Time of Day,Change in Time (ms),X (m),Y (m),Yaw (rad),Velocity (m/s)
16:20:29.162,171,0,0,0,0
16:20:29.370,208,0,0,0,0
16:20:29.561,191,0,0,-0.000349065850398844,0
16:20:29.771,210,0,0,-0.0001745329251992,0
16:20:29.962,191,0,0,-0.000349065850398844,0
16:20:30.170,208,0,0,0.000349065850398844,0
16:20:30.362,192,0,0,0.000349065850398844,0
16:20:30.569,207,0,0,0.00069813170079791,0
16:20:30.762,193,0,0,0.00157079632679502,0
16:20:30.970,208,0,0,0.00279252680319098,0
16:20:31.162,192,0,0,0.000523598775598266,0
16:20:31.370,208,0,0,-0.0031415926535896,0
16:20:31.562,192,0,0,-0.00157079632679502,0
16:20:31.770,208,-2.99498315656781E-07,0.000155999712502168,-0.00191986217719364,0.0015
16:20:31.961,191,-7.74533070880321E-07,0.000442499308865152,-0.00139626340159538,0.0015
16:20:32.170,209,-1.21226150505142E-06,0.000755999003273006,-0.00139626340159538,0.0015
16:20:32.361,191,-1.58728901954574E-06,0.00104249875672713,-0.00122173047639595,0.0015
16:20:32.569,208,-1.88678746292793E-06,0.00135449860228611,-0.000698131700797688,0.0015
16:20:32.761,192,-2.13811483948771E-06,0.00164249848823736,-0.00104719755119653,0.0015
16:20:32.969,208,-2.41038616409413E-06,0.00195449836468454,-0.000698131700797688,0.0015
16:20:33.161,192,-2.6617135406539E-06,0.00224249825063579,-0.00104719755119653,0.0015
16:20:33.370,209,-2.82586172680251E-06,0.00239924816468799,-0.00087266462599711,0
16:20:33.562,192,-2.82586172680251E-06,0.00239924816468799,-0.000698131700797688,0
16:20:33.769,207,-2.82586172680251E-06,0.00239924816468799,-0.00104719755119653,0
16:20:33.961,192,-2.82586172680251E-06,0.00239924816468799,-0.00104719755119653,0
16:20:34.169,208,-2.82586172680251E-06,0.00239924816468799,-0.000349065850398844,0
16:20:34.359,190,-2.82586172680251E-06,0.00239924816468799,0.00174532925199444,0
16:20:34.567,208,-9.45374645344049E-07,0.00393844701596366,0.00122173047639618,0.0148
16:20:34.760,193,4.53851497238124E-06,0.00679484105571858,0.00261799387799155,0.0148
16:20:34.968,208,2.85491883590577E-05,0.0154892078821229,0.00279252680319098,0.0688
16:20:35.159,191,0.000107611446229726,0.0354389945069426,0.00453785605518542,0.1401
16:20:35.367,208,0.000244933720692763,0.0645794705045176,0.00488692190558404,0.1401
16:20:35.560,193,0.0003927623853989,0.0927377807505996,0.00558505360638195,0.1517
16:20:35.767,207,0.000579103906180292,0.124139125949442,0.00628318530717964,0.1517
16:20:35.959,192,0.000775627083293816,0.153744871892169,0.00698131700797733,0.1567
16:20:36.167,208,0.00102592544153467,0.186337502867882,0.00837758040957293,0.1567
16:20:36.358,191,0.00132866834835967,0.219130795420903,0.00994837673636773,0.1867
16:20:36.566,208,0.00174194533643934,0.259220662849857,0.0106465084371654,0.1988
16:20:36.759,193,0.0021665145589134,0.298764083510775,0.0108210413623648,0.211
16:20:36.953,194,0.00266357551842906,0.340859129568336,0.0127409035395587,0.223
16:20:37.159,206,0.003295688226606,0.387544736035238,0.0143116998663537,0.2303
16:20:37.351,192,0.00400583319505711,0.433148773182897,0.0167551608191456,0.2448
16:20:37.560,209,0.00491013425653191,0.484931065026134,0.0181514242207412,0.2508
16:20:37.751,191,0.00582012047857372,0.533188174204183,0.0195476876223366,0.2546
16:20:37.959,208,0.00689418571849247,0.586009238999446,0.0211184839491316,0.2534
16:20:38.151,192,0.00794336142433613,0.634295432944499,0.0223402144255274,0.2497
