Time of Day,Change in Time (ms),X (m),Y (m),Yaw (rad),Velocity (m/s)
17:0:45.688,169,0,0,0.000349065850398844,0
17:0:45.880,192,0,0,0.000174532925199422,0
17:0:46.89,209,0,0,0.000174532925199422,0
17:0:46.281,192,0,0,0.000349065850398844,0
17:0:46.488,207,0,0,0.000174532925199422,0
17:0:46.680,192,0,0,0.000174532925199422,0
17:0:46.889,209,0,0,0.000174532925199422,0
17:0:47.81,192,0,0,0.000349065850398844,0
17:0:47.289,208,0,0,-0.000523598775598488,0
17:0:47.482,193,0,0,0.00104719755119653,0
17:0:47.689,207,1.72331781537925E-06,0.000548547293016479,0.00314159265358982,0.0053
17:0:47.882,193,6.32602358458774E-05,0.0129003931019087,0.00506145483078346,0.1227
17:0:48.89,207,0.000298640466701118,0.0562352026225045,0.00558505360638195,0.296
17:0:48.281,192,0.000711015599092509,0.120985873953327,0.00698131700797733,0.3785
17:0:48.491,210,0.00143137349994557,0.204478663693014,0.0101229096615669,0.4167
17:0:48.681,190,0.00225088165932844,0.284730479207271,0.0102974425867666,0.4281
17:0:48.888,207,0.00327620570408858,0.377698852755455,0.0116937059883619,0.4702
17:0:49.81,193,0.00434467877661775,0.469763302420747,0.0115191730631623,0.4839
17:0:49.289,208,0.00547422924541307,0.570896988546382,0.0108210413623648,0.4886
17:0:49.480,191,0.00647830178166729,0.667728773743021,0.00994837673636773,0.5254
17:0:49.688,208,0.0075707783666381,0.778524987414762,0.00977384381116808,0.54
17:0:49.880,192,0.00835916978504848,0.886022598381411,0.00506145483078346,0.5798
17:0:50.88,208,0.00808389822192483,1.00174998662908,-0.010471975511966,0.533
17:0:50.281,193,0.00624575245820504,1.10314211802572,-0.0260054058547154,0.5179
17:0:50.488,207,0.00298460122466075,1.20993428609995,-0.0350811179650861,0.5144
17:0:50.681,193,-0.000932324542994945,1.31167550585957,-0.0417133691226645,0.5407
17:0:50.887,206,-0.00571369213154599,1.42455496517002,-0.0429350995990605,0.5562
17:0:51.80,193,-0.0103579554756018,1.53496909227448,-0.0411897703470663,0.589
17:0:51.288,208,-0.0152555785650605,1.65856954447184,-0.0380481776934765,0.6004
17:0:51.481,193,-0.0195139115245048,1.77619333992546,-0.0343829862642884,0.6193
17:0:51.688,207,-0.023677731886745,1.90515930748523,-0.0301941960595018,0.6274
17:0:51.879,191,-0.0268502430538662,2.02334505000506,-0.0233874119767241,0.6106
17:0:52.89,210,-0.0296065536436663,2.15290645002545,-0.0191986217719375,0.6236
17:0:52.280,191,-0.0316603204985391,2.27310404173138,-0.0150098315671514,0.6352
17:0:52.487,207,-0.0334516534391859,2.40469197112786,-0.0122173047639604,0.6363
17:0:52.679,192,-0.0336984255638963,2.4048814610749,-0.0082030474843735,-0.6343
17:0:52.888,209,-0.0334917256697079,2.40518588827195,-0.00506145483078346,0.6372
17:0:53.79,191,-0.0338810396702683,2.52427355203584,-0.0013962634015956,0.6098
17:0:53.287,208,-0.0338433864193575,2.64795015805669,0.00209439510239307,0.5794
17:0:53.478,191,-0.033315558341734,2.75692350495615,0.00767944870877502,0.5617
17:0:53.686,208,-0.0323017246048437,2.87117332152327,0.0101229096615669,0.5369
17:0:53.878,192,-0.0310076268159168,2.971878214557,0.0157079632679489,0.5122
17:0:54.86,208,-0.0291150783438845,3.07683846224539,0.0204203522483335,0.4972
17:0:54.280,194,-0.0270981802080852,3.16984921743556,0.0230383461263253,0.4619
17:0:54.470,190,-0.0250225464634783,3.25232089047609,0.0275762021815102,0.4065
17:0:54.678,208,-0.0226961716872794,3.32975527140536,0.0329867228626928,0.3384
17:0:54.871,193,-0.0205522162793914,3.39191248070594,0.0361283155162826,0.3061
17:0:55.78,207,-0.0181713825157567,3.45422562762719,0.0403171057210689,0.2964
17:0:55.270,192,-0.0158679501214376,3.51013657776936,0.0420624349730632,0.2865
17:0:55.483,213,-0.0134963232941144,3.56545509180631,0.0438077642250576,0.2334
17:0:55.670,187,-0.0115468597584579,3.60905731650708,0.0455530934770518,0.2334
17:0:55.878,208,-0.00930652517159555,3.65755278690703,0.046774823953448,0.2334
17:0:56.69,191,-0.00722209186180567,3.70208342851635,0.046774823953448,0.2334
17:0:56.278,209,-0.00491570691410974,3.75080946747363,0.0478220215046448,0.2334
17:0:56.468,190,-0.00279579978286863,
