Time of Day,Change in Time (ms),X (m),Y (m),Yaw (rad),Velocity (m/s)
16:38:24.519,177,0,0,0.0001745329251992,0
16:38:24.710,191,0,0,0.0001745329251992,0
16:38:24.918,208,0,0,0.0001745329251992,0
16:38:25.110,192,0,0,-0.000349065850398844,0
16:38:25.319,209,0,0,-0.000349065850398844,0
16:38:25.510,191,0,0,-0.000174532925199644,0
16:38:25.718,208,0,0,-0.000174532925199644,0
16:38:25.911,193,0,0,-0.000174532925199644,0
16:38:26.117,206,0,0,-0.000523598775598488,0
16:38:26.310,193,0,0,-0.000523598775598488,0
16:38:26.519,209,0,0,-0.00069813170079791,0
16:38:26.710,191,0,0,-0.00087266462599711,0
16:38:26.917,207,0,0,-0.00069813170079791,0
16:38:27.109,192,0,0,-0.000349065850398844,0
16:38:27.317,208,0,0,-0.000174532925199644,0
16:38:27.509,192,0,0,0,0
16:38:27.717,208,0,0,0,0
16:38:27.910,193,0,0,-0.000174532925199644,0
16:38:28.117,207,0,0,-0.00191986217719387,0
16:38:28.309,192,-4.55739705600292E-07,0.00015359932389604,-0.0029670597283904,0.0016
16:38:28.518,209,-1.12692276285917E-06,0.000487998496251059,-0.00104719755119675,0.0016
16:38:28.710,192,-1.28777227732445E-06,0.000795198412030443,0,0.0016
16:38:28.918,208,-1.89309437212772E-05,0.00938557993613776,-0.00209439510239329,0.081
16:38:29.110,192,-0.0001057887166763,0.0249372426347422,-0.00907571211037062,0.081
16:38:29.318,208,-0.000309305163428975,0.0431984751478274,-0.0129154364647583,0.0946
16:38:29.509,191,-0.000588343211162344,0.0610069697525511,-0.0185004900711401,0.0919
16:38:29.701,192,-0.000960467177741826,0.0780812163123871,-0.025307274153918,0.086
16:38:29.910,209,-0.00146425154114337,0.0961630917091219,-0.0303687289847017,0.0871
16:38:30.101,191,-0.00200428301275837,0.113573915401648,-0.0315904594610974,0.0953
16:38:30.309,208,-0.00268638212498235,0.135559333875111,-0.0305432619099009,0.1162
16:38:30.502,193,-0.00336619450969716,0.159481628516957,-0.0265290046303137,0.1318
16:38:30.709,207,-0.00409449732182947,0.189518784992716,-0.0223402144255276,0.1585
16:38:30.901,192,-0.00478875646365855,0.221508046212102,-0.0211184839491316,0.1748
16:38:31.109,208,-0.00555605408745588,0.258950578065566,-0.0198967534727355,0.1853
16:38:31.301,192,-0.00620944875001359,0.295184626503067,-0.0162315620435474,0.1922
16:38:31.510,209,-0.00690719571085781,0.335944089178646,-0.0179768912955416,0.1979
16:38:31.701,191,-0.00765806998533581,0.374146208043776,-0.0212930168743308,0.2022
16:38:31.909,208,-0.00760814415126641,0.372722156769836,-0.0221656815003279,-0.2159
16:38:32.100,191,-0.00773223058389036,0.373445110725999,-0.0272271363311116,0.2235
16:38:32.308,208,-0.00911254233488204,0.420734483151722,-0.0310668606854991,0.2314
16:38:32.501,193,-0.0105711179805235,0.465872889826031,-0.0335103216382913,0.2366
16:38:32.709,208,-0.0123131535932097,0.515731217375542,-0.036302848441482,0.2431
16:38:32.900,191,-0.0140139985843015,0.562562191225536,-0.036302848441482,0.2476
16:38:33.108,208,-0.0158818115949806,0.613269395244332,-0.0373500459926788,0.2403
16:38:33.302,194,-0.0176204777065022,0.659690146041895,-0.0375245789178782,0.2386
16:38:33.508,206,-0.0193843149129019,0.708974918322358,-0.0340339204138895,0.2402
16:38:33.699,191,-0.0208276977863207,0.755193305374811,-0.0284488668075078,0.244
16:38:33.908,209,-0.0222387228954238,0.808344089883988,-0.0247836753783195,0.2648
16:38:34.100,192,-0.0233555878271892,0.8591156090371,-0.0191986217719378,0.2642
16:38:34.307,207,-0.0242822403827746,0.91452159515594,-0.0143116998663537,0.2712
16:38:34.499,192,-0.0248675349859854,0.9664828564784,-0.0082030474843735,0.2701
16:38:34.708,209,-0.0251993432136884,1.02343423182361,-0.00349065850398889,0.2749
16:38:34.900,192,-0.0252647819875848,1.07530285707417,0.00104719755119653,0.2654
16:38:35.108,208,-0.0251398205230339,1.13042267428839,0.00349065850398866,0.2646
16:38:35.299,191,-0.024966741459522,1.18000597220813,0.00349065850398866,0.2546
16:38:35.507,208,-0.0248478280417072,1.23177699702433,0.00104719755119653,0.2432
16:38:35.699,192,-0.0249040716061439,1.27824084338734,-0.00349065850398889,0.2408
16:38:35.907,208,-0.0251220149828264,1.3
