Time of Day,Change in Time (ms),X (m),Y (m),Yaw (rad),Velocity (m/s)
17:6:0.533,187,0,0,-0.000174532925199422,0
17:6:0.726,193,0,0,0.00104719755119675,0
17:6:0.934,208,0,0,0.00069813170079791,0
17:6:1.124,190,0,0,0.00104719755119675,0
17:6:1.333,209,0,0,0.00104719755119675,0
17:6:1.525,192,0,0,0.00122173047639618,0
17:6:1.733,208,0,0,0.00122173047639618,0
17:6:1.924,191,0,0,0.00104719755119675,0
17:6:2.132,208,0,0,0.00157079632679502,0
17:6:2.325,193,0,0,0.00366519142918831,0
17:6:2.532,207,0,0,0.00733038285837617,0
17:6:2.724,192,0,0,0.013264502315157,0
17:6:2.933,209,8.93650471621104E-06,0.00051197201230483,0.0174532925199433,0.0049
17:6:3.124,191,2.68217087739285E-05,0.00144769981538319,0.0207694180987326,0.0049
17:6:3.332,208,4.8432987744E-05,0.00246667056808142,0.0216420827247297,0.0049
17:6:3.523,191,0.000338067668775036,0.0156424875077168,0.0219911485751287,0.1331
17:6:3.731,208,0.000917854056858194,0.0433212005970215,0.0198967534727355,0.1331
17:6:3.923,192,0.00147613205529754,0.0717893260648595,0.0193731546971372,0.1635
17:6:4.131,208,0.00214680181088937,0.105790710230178,0.0200712863979349,0.1635
17:6:4.322,191,0.00286075919569682,0.142455754731475,0.0190240888467383,0.2205
17:6:4.530,208,0.0037951426596529,0.192824683943839,0.0181514242207412,0.2639
17:6:4.722,192,0.0047512413121928,0.245231963118272,0.0183259571459404,0.2821
17:6:4.930,208,0.00581427789357958,0.304075959828109,0.0178023583703422,0.2838
17:6:5.123,193,0.00682211350329182,0.362189165712545,0.0169296937443451,0.3185
17:6:5.314,191,0.00779666333192936,0.424714917789087,0.0143116998663537,0.3363
17:6:5.521,207,0.0087486729657889,0.495140211726463,0.0127409035395587,0.3442
17:6:5.715,194,0.00954733932481949,0.562472849562527,0.0109955742875643,0.35
17:6:5.921,206,0.0102391003740506,0.634528258805079,0.00820304748437328,0.3496
17:6:6.114,193,0.0107632567594871,0.702838588502943,0.00715584993317675,0.3583
17:6:6.323,209,0.0108604271109245,0.701145102406396,0.00436332312998577,-0.3745
17:6:6.513,190,0.0107897940560858,0.702855345099929,0.00226892802759271,0.3925
17:6:6.721,208,0.010897902043821,0.788052037325003,0.000349065850398844,0.4267
17:6:6.913,192,0.0108132349633588,0.869517513919624,-0.00244346095279191,0.4219
17:6:7.121,208,0.0105711134203078,0.958863582793195,-0.0029670597283904,0.4372
17:6:7.313,192,0.0102509399063833,1.04394775414796,-0.0045378560551852,0.4491
17:6:7.521,208,0.00975862483041608,1.13790004138281,-0.0059341194567808,0.4543
17:6:7.712,191,0.00920665117749143,1.22569145083148,-0.00663225115757826,0.465
17:6:7.920,208,0.00851338334440911,1.32368818930898,-0.00750491578357537,0.4773
17:6:8.112,192,0.00781244279806629,1.41708395904675,-0.00750491578357537,0.4956
17:6:8.319,207,0.00704182764289484,1.51976341733226,-0.00750491578357537,0.4965
17:6:8.514,195,0.00635624221135903,1.61676373531495,-0.00663225115757826,0.4984
17:6:8.721,207,0.00572631290642055,1.71987884708156,-0.00558505360638173,0.4979
17:6:8.913,192,0.00520277038707213,1.81509980746288,-0.00541052068118231,0.494
17:6:9.120,207,0.0047099749195831,1.9178327063664,-0.00418879020478613,0.4986
17:6:9.312,192,0.00428353745618255,2.01193093436853,-0.00488692190558404,0.4816
17:6:9.520,208,0.00381342094681414,2.11167622498597,-0.0045378560551852,0.4775
17:6:9.712,192,0.00342721233139167,2.20190579535621,-0.00401425727958693,0.4624
17:6:9.920,208,0.00302987519161989,2.29681536219227,-0.00436332312998577,0.4502
17:6:10.111,191,0.00268357400297247,2.38114114822803,-0.00383972435438751,0.4328
17:6:10.320,209,0.00231954718253404,2.469996749508,-0.00436332312998577,0.4175
17:6:10.512,192,0.00196457021585825,2.54829354363441,-0.00471238898038462,0.3981
17:6:10.720,208,0.00195506253504041,2.55031112123242,-0.00471238898038462,-0.3787
17:6:10.911,191,0.00192914261972834,2.55043514162153,-0.00541052068118231,0.38
17:6:11.119,208,0.00149794507643073,2.62769553717771,-0.00575958653158115,0.3629
17:6:11.312,193,0.0010617475708099,2.69807162869523,-0.00663225115757826,0.3664
17:6:11.519,207,0.000592060842229642,2.77387356634824,-0.00
