Time of Day,Change in Time (ms),X (m),Y (m),Yaw (rad),Velocity (m/s)
17:7:31.191,172,0,0,-0.00122173047639573,0
17:7:31.400,209,0,0,-0.00139626340159538,0
17:7:31.591,191,0,0,-0.00226892802759249,0
17:7:31.799,208,0,0,-0.00383972435438751,0
17:7:31.992,193,-1.62697483271495E-06,0.000443897018409556,-0.00366519142918786,0.0046
17:7:32.199,207,-8.52376581489891E-06,0.00139606594636038,-0.0108210413623646,0.0046
17:7:32.390,191,-1.7570937739815E-05,0.00227461924414544,-0.00977384381116786,0.0046
17:7:32.599,209,-2.76385085357671E-05,0.00323596629569895,-0.0111701072127637,0.0046
17:7:32.791,192,-3.77349481812845E-05,0.00411910855402613,-0.0116937059883619,0.0046
17:7:32.998,207,-4.89525306183436E-05,0.00507124247262134,-0.0118682389135611,0.0046
17:7:33.190,192,-5.8278271838555E-05,0.00595439247911523,-0.00925024503556982,0.0046
17:7:33.397,207,-6.77509576043785E-05,0.0069065451277579,-0.0106465084371654,0.0046
17:7:33.590,193,-7.24768534198706E-05,0.00735041997037543,-0.00925024503556982,0
17:7:33.797,207,-7.24768534198706E-05,0.00735041997037543,-0.00977384381116786,0
17:7:33.991,194,-7.24768534198706E-05,0.00735041997037543,-0.00750491578357537,0
17:7:34.197,206,-8.39963695663261E-05,0.00918378378062908,-0.00628318530717942,0.0178
17:7:34.389,192,-0.000114436952553245,0.0141180898679128,-0.00610865238198,0.0336
17:7:34.597,208,-0.000201055097716538,0.029676248091507,-0.00541052068118209,0.116
17:7:34.789,192,-0.000377886664044795,0.0655510104093799,-0.00471238898038462,0.2577
17:7:34.996,207,-0.000681991695449528,0.123199700457945,-0.00575958653158115,0.2993
17:7:35.188,192,-0.0010718930915661,0.182545601363765,-0.00733038285837617,0.3189
17:7:35.396,208,-0.0016149600115471,0.252275480029665,-0.00820304748437328,0.3516
17:7:35.588,192,-0.00227592398949951,0.322102699796553,-0.0106465084371654,0.3758
17:7:35.780,192,-0.00316294479726676,0.39764945122318,-0.0127409035395583,0.4112
17:7:35.892,112,-0.00380704405993169,0.444595411281657,-0.0146607657167521,0.4272
17:7:36.84,192,-0.00512016488775396,0.528085839898697,-0.0167551608191454,0.4426
17:7:36.293,209,-0.0067577706769522,0.62140039279832,-0.0183259571459404,0.4505
17:7:36.484,191,-0.00853284763738764,0.707895424504423,-0.0226892802759262,0.4554
17:7:36.691,207,-0.0107956155522812,0.803502607348964,-0.0246091424531198,0.4686
17:7:36.883,192,-0.0105721526896594,0.801722311753004,-0.0284488668075074,-0.4872
17:7:37.93,210,-0.0108843048324056,0.805599631801793,-0.0321140582366954,0.5242
17:7:37.285,192,-0.0142658146910485,0.906208309916014,-0.0350811179650858,0.5244
17:7:37.492,207,-0.018241573294669,1.01642617600827,-0.0370009801422795,0.5412
17:7:37.684,192,-0.0221646077109819,1.12043539215376,-0.0383972435438751,0.543
17:7:37.892,208,-0.0266659826626929,1.23324789808754,-0.0413643032722653,0.5426
17:7:38.84,192,-0.0309605564597645,1.33701186439445,-0.0413643032722653,0.5392
17:7:38.292,208,-0.0357100547041277,1.44961651072041,-0.0429350995990603,0.5445
17:7:38.483,191,-0.0402322584617371,1.55402426533847,-0.0436332312998582,0.5498
17:7:38.691,208,-0.0452645050477913,1.66928166132735,-0.0436332312998582,0.5595
17:7:38.883,192,-0.0500256456157012,1.77810876173706,-0.0438077642250574,0.5752
17:7:39.91,208,-0.055215554637728,1.89893890829492,-0.0420624349730632,0.5877
17:7:39.284,193,-0.0599786995338332,2.01282514171165,-0.0415388361974649,0.5935
17:7:39.491,207,-0.0650928900050847,2.13666082903405,-0.0410152374218666,0.604
17:7:39.684,193,-0.0698075494367243,2.25303119675686,-0.0399680398706699,0.6029
17:7:39.891,207,-0.0748623206179006,2.37753225333066,-0.0411897703470661,0.601
17:7:40.82,191,-0.0796904094463457,2.49271868392976,-0.0425860337486614,0.6062
17:7:40.291,209,-0.0797672932628915,2.49575914032972,-0.0434586983746585,-0.5771
17:7:40.481,190,-0.0797430475795524,2.49434334390093,-0.0441568300754565,0.5622
17:7:40.694,213,-0.0849403020051343,2.61084496305436,-0.0450294947014536,0.5328
17:7:40.882,188,-0.0893868941527789,2.70806150103787,-0.0464257581030489,0.5025
17:7:41.73,191,-0.0935849708424543,2.80042919913505,-0.0443313630006557,0.4657
17:7:41.185,112,-0.0958599572625151,2.8521175551275,-0.0436332312998582,0.4582
17:7:41.378,193,-0.099645898058007,2.93900090775822,-0.0434586983746585,0.443
17:7:41.586,208,-0.103428802391842,3.02880838304159,-0.0406661715714678,0.4213
17:7:41.777,191,-0.106475464771325,3.10508068504949,-0.0390953752446728,0.378
17:7:41.985,208,-0.109341701660288,3.17994741042442,-0.0373500459926785,0.3424
