Time of Day,Change in Time (ms),X (m),Y (m),Yaw (rad),Velocity (m/s)
16:43:56.423,193,0,0,-0.000349065850398844,0
16:43:56.630,207,0,0,-0.000698131700797688,0
16:43:56.822,192,0,0,-0.00087266462599711,0
16:43:57.28,206,0,0,-0.000698131700797688,0
16:43:57.220,192,0,0,-0.000523598775598266,0
16:43:57.429,209,0,0,-0.000698131700797688,0
16:43:57.620,191,0,0,-0.00087266462599711,0
16:43:57.828,208,0,0,-0.000698131700797688,0
16:43:58.21,193,0,0,-0.000698131700797688,0
16:43:58.228,207,0,0,-0.00087266462599711,0
16:43:58.420,192,0,0,-0.00087266462599711,0
16:43:58.628,208,0,0,-0.000698131700797688,0
16:43:58.821,193,0,0,-0.00087266462599711,0
16:43:59.27,206,0,0,-0.000698131700797688,0
16:43:59.220,193,0,0,-0.000523598775598266,0
16:43:59.429,209,0,0,-0.000349065850398844,0
16:43:59.620,191,2.33350519806917E-08,0.000133699997963633,0.000174532925199422,0.0014
16:43:59.827,207,4.27972091264143E-07,0.000589099764026622,0.00122173047639618,0.003
16:44:0.19,192,7.76337914122174E-06,0.00587869467365103,0.00139626340159538,0.0521
16:44:0.211,192,4.31535992872579E-05,0.0225058550929,0.00244346095279213,0.1211
16:44:0.323,112,8.35097529802787E-05,0.037805001637156,0.00279252680319075,0.1521
16:44:0.515,192,0.000188018183469551,0.0690048223450862,0.00383972435438751,0.1729
16:44:0.724,209,0.000370265823847951,0.109372753504698,0.00506145483078368,0.2134
16:44:0.915,191,0.000619346102924245,0.152977334004907,0.00628318530717964,0.2432
16:44:1.123,208,0.00100239546076389,0.204476676343759,0.00855211333477213,0.252
16:44:1.315,192,0.00144820440081856,0.25550832832787,0.00890117918517119,0.2796
16:44:1.523,208,0.00200709307839774,0.315284909998564,0.0097738438111683,0.2952
16:44:1.714,191,0.00261506612112013,0.372333348743765,0.0115191730631625,0.3022
16:44:1.923,209,0.00343608170676458,0.433345252180719,0.0155334303427495,0.2817
16:44:2.115,192,0.0043221853219844,0.484879956461831,0.0190240888467381,0.2552
16:44:2.322,207,0.0044845390654256,0.484225263885075,0.0125663706143591,-0.2615
16:44:2.515,193,0.00446410820044541,0.432012737359853,-0.0109955742875643,-0.2796
16:44:2.722,207,0.00359331858397387,0.431803592553084,-0.0413643032722657,0.2778
16:44:2.915,193,0.000483771830039891,0.485514814833525,-0.0741764932097591,0.2798
16:44:3.123,208,-0.00444807047147416,0.542737774875553,-0.0980875039620814,0.2725
16:44:3.314,191,-0.0095375585847182,0.591837909650036,-0.109083078249646,0.2444
16:44:3.523,209,-0.0150143814517337,0.642086964736933,-0.108035880698449,0.2393
16:44:3.714,191,-0.0201316163091193,0.690656634546538,-0.102276294166868,0.2721
16:44:3.922,208,-0.0258067699295543,0.748953098773347,-0.0921533845053006,0.2911
16:44:4.114,192,-0.0308457082051731,0.806919299929053,-0.0816814089933344,0.315
16:44:4.306,192,-0.0356734105344558,0.869747769366208,-0.0720820981073658,0.3414
16:44:4.514,208,-0.0405851920519938,0.943881638184808,-0.0607374579694029,0.373
16:44:4.705,191,-0.0446993358228032,1.01783617520573,-0.0507890812330349,0.4026
16:44:4.914,209,-0.048536613710696,1.10221512010391,-0.0401425727958695,0.4057
16:44:5.106,192,-0.0511339502851831,1.17960344300829,-0.0268780704807126,0.4009
16:44:5.313,207,-0.0528974039055987,1.26235231385544,-0.0157079632679489,0.3988
16:44:5.505,192,-0.0537942902127526,1.34001048176755,-0.00750491578357559,0.4102
16:44:5.714,209,-0.0540484451991412,1.4258768715376,0.00157079632679502,0.4115
16:44:5.905,191,-0.053545945711137,1.50463321130584,0.0111701072127637,0.4132
16:44:6.113,208,-0.0523031905429126,1.59002847428695,0.0179768912955416,0.408
16:44:6.306,193,-0.0525486627096052,1.59039080892208,0.0244346095279206,-0.4043
16:44:6.513,207,-0.0523635052543311,1.58877057401643,0.0300196631343024,0.3887
16:44:6.705,192,-0.050065410226754,1.66049360941785,0.034208453339089,0.3588
16:44:6.914,209,-0.0473906200395752,1.73575918150512,0.0368264472170803,0.3619
16:44:7.105,191,-0.0446405872674531,1.80676738005782,0.0404916386462686,0.3822
16:44:7.313,208,-0.0412515315766466,1.88614047134158,0.0448549617762544,0.3817
16:44:7.505,192,-0.0380224424091367,1.
