Orientation,Intensity
0,0.03583712465777
10,0.023735893527934
20,0.0270642381174632
30,0.0194873354588892
40,0.0387703405314837
50,0.0199383691388995
60,0.0306827130089413
70,0.0258666445822559
80,0.0322008788876574
90,0.0362690269998498
100,0.0254957410378532
110,0.0291951085854964
120,0.0195122697601884
130,0.038460236378501
140,0.0188950572475426
150,0.0252012925418841
160,0.0226100128112408
170,0.0316309122369044
180,0.0355003109804222
190,0.0235895644367718
200,0.0269408350690697
210,0.0187610573814681
220,0.0417665166662436
230,0.0190797384801802
240,0.0303651351079435
250,0.0256228905922658
260,0.0318264903900386
270,0.0359990413318409
280,0.0237080668278875
290,0.0267767994873484
300,0.0198613235277323
310,0.0372862219602816
320,0.0193147508155965
330,0.0270947984692515
340,0.0241000211016876
350,0.0315532418631574
