Image Number,Shutter (ms),Brightness (%),Gain (dB),Exposure (EV),White Balance Blue,White Balance Red,Mean Blue Pixel Intensity,Mean Green Pixel Intensity,Mean Red Pixel Intensity,Illuminance (lux)
0,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.0251770019531103,0.0273078918456868,0.0389343261718793,2.05220007896423
1,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.0230560302734249,0.0241333007812366,0.0349151611328039,2.17919993400574
2,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.0221740722656131,0.0226188659667849,0.0312622070312301,2.04060006141663
3,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.0256744384765474,0.0258567810058444,0.035440063476555,2.00379991531372
4,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.0221649169921756,0.0213874816894423,0.0305816650390432,1.91600000858307
5,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.0204589843749897,0.0199287414550686,0.027996826171858,2.02270007133484
6,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.0203216552734273,0.0194580078124909,0.027468872070296,2.03229999542236
7,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.022271728515613,0.0216285705566296,0.0316528320312314,2.00230002403259
8,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.0274322509765458,0.0291481018066227,0.0402526855468834,2.00359988212585
9,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.0240295410156114,0.0247322082519392,0.0355560302734314,1.99380004405975
10,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.0243377685546736,0.0269119262695153,0.038415527343753,2.00309991836548
11,4.0050745010376,0.48828125,0,1.4998779296875,550,810,0.0269256591796713,0.0291320800781071,0.0406951904296974,2.01169991493225
