Time of Day,Change in Time (ms),X (m),Y (m),Yaw (rad),Velocity (m/s)
16:40:11.323,117,0,0,0.000523598775598266,0
16:40:11.517,194,0,0,0.000349065850398844,0
16:40:11.724,207,0,0,0.000349065850398844,0
16:40:11.915,191,0,0,0.000174532925199644,0
16:40:12.124,209,0,0,0.000349065850398844,0
16:40:12.316,192,0,0,0.000523598775598266,0
16:40:12.523,207,0,0,0.000174532925199644,0
16:40:12.715,192,0,0,0,0
16:40:12.923,208,0,0,-0.000523598775598266,0
16:40:13.115,192,0,0,-0.000174532925199422,0
16:40:13.323,208,0,0,0.00069813170079791,0
16:40:13.516,193,0,0,0.000523598775598266,0
16:40:13.723,207,0,0,0.000349065850398844,0
16:40:13.915,192,0,0,0,0
16:40:14.124,209,0,0,0,0
16:40:14.315,191,0,0,-0.000523598775598266,0
16:40:14.522,207,0,0,-0.000349065850398844,0
16:40:14.714,192,0,0,-0.000349065850398844,0
16:40:14.922,208,0,0,-0.000349065850398844,0
16:40:15.114,192,0,0,-0.000174532925199422,0
16:40:15.322,208,0,0,-0.000174532925199422,0
16:40:15.515,193,0,0,0,0
16:40:15.722,207,0,0,-0.00244346095279213,0
16:40:15.914,192,-6.33343660944228E-07,0.000172798839335822,-0.00366519142918786,0.0018
16:40:16.123,209,-3.95458736762645E-06,0.000747538618745343,-0.00680678408277791,0.0037
16:40:16.314,191,-0.000137279459857467,0.0164089706094885,-0.00855211333477213,0.1603
16:40:16.522,208,-0.000384581186558754,0.050728050219223,-0.0059341194567808,0.1697
16:40:16.715,193,-0.000465926173523866,0.0852458049808483,0.00087266462599711,0.188
16:40:16.923,208,-0.000200780698154644,0.124004995462721,0.0129154364647579,0.1847
16:40:17.114,191,0.000474602914766223,0.159571688684415,0.0249582083035191,0.1878
16:40:17.322,208,0.00161733667356887,0.198148738839452,0.0343829862642884,0.1833
16:40:17.514,192,0.00291455755687637,0.235076352006268,0.0357792496658838,0.2016
16:40:17.722,208,0.0045329920019763,0.28153615381333,0.0340339204138895,0.2454
16:40:17.914,192,0.00612496173000755,0.331248178447813,0.030194196059502,0.2727
16:40:18.106,192,0.00763824882051917,0.384660255605328,0.0265290046303137,0.2839
16:40:18.313,207,0.00903926119117179,0.443462402571901,0.0211184839491316,0.2844
16:40:18.507,194,0.0100437288082261,0.499150484547064,0.0150098315671512,0.2898
16:40:18.713,206,0.0101446286636764,0.497428930548193,0.0109955742875643,-0.3065
16:40:18.904,191,0.00995197230751098,0.501804351966684,0.00383972435438751,0.3523
16:40:19.112,208,0.0100237518112247,0.574333615728634,-0.00191986217719364,0.3451
16:40:19.304,192,0.00968342580271369,0.641196419685619,-0.00820304748437328,0.3514
16:40:19.513,209,0.00890526610922105,0.715867887484758,-0.0125663706143591,0.3632
16:40:19.706,193,0.00792763202288263,0.78670173839134,-0.0150098315671512,0.3709
16:40:19.913,207,0.00665034266621291,0.864854434448496,-0.0176278254451427,0.3843
16:40:20.105,192,0.00517590108164893,0.939815784206709,-0.0216420827247295,0.3967
16:40:20.314,209,0.00341067265255897,1.02236235915122,-0.0211184839491312,0.3934
16:40:20.505,191,0.00201884371781505,1.09679137441964,-0.0162315620435471,0.3861
16:40:20.713,208,0.00101987136397465,1.17672936982775,-0.00872664625997155,0.3826
16:40:20.905,192,0.000634071132323605,1.25085911431124,-0.00174532925199422,0.3896
16:40:21.113,208,0.000787135591425047,1.33273764720715,0.00541052068118253,0.3977
16:40:21.305,192,0.0014871632120864,1.40912110171937,0.0129154364647579,0.398
16:40:21.512,207,0.00276616797176118,1.4918592016003,0.0179768912955416,0.4015
16:40:21.705,193,0.00433959150139726,1.56894641556783,0.0228638132011258,0.3975
16:40:21.912,207,0.00634316464218368,1.64936148320007,0.0270526034059122,0.3797
16:40:22.104,192,0.00627330622509196,1.65143796351213,0.0307177948351003,-0.3581
16:40:22.313,209,0.00632987925301574,1.64927183930257,0.034208453339089,0.3374
16:40:22.504,191,0.00856609838903501,1.71240545067631,0.0366519142918809,0.3241
16:40:22.712,208,0.0110227678898298,1.77832687835905,0.037873644768277,0.3102
16:40:22.904,192,0.0133057554781576,1.83685192938969,0.0401425727958695,0.2999
16:40:23.112,208,0.0158769547271991,1.89860555680877,0.0431096325242599,0.2944
16:40:23.305,193,0.0184003435490102,1.9547407253816,0.0467748239534482,0.2879
16:40:23.512,207,0.0212628312179962,2.01391485780601,0.0499164166070378,0.2845
16:40:23.704,192,0.0240461242720772,2.06759304829239,0.0537561409614253,0.2754
16:40:23.913,209,0.0271505945692308,2.12368633660877,0.0568977336150154,0.2622
16:40:24.104,191,0.0299812573423432,2.1721558970578,0.0598647933434058,0.2462
16:40:24.312,208,0.0330295921688243,2.2216179766576,0.0633554518473942,0.2303
16:40:24.504,192,0.0358444513497137,2.26460101156154,0.0675442420521808,0.2184
16:40:24.712,208,0.038941273408307,2.30902590630921,0.0717330322569669,0.2098
16:40:24.903,191,0.0418760561753192,2.34899004327382,0.074874624910557,0.2098
16:40:25.111,208,0.0450405880583923,2.39043817364175,0.0776671517137477,0.1899
16:40:25.303,192,0.0476602514543886,2.42379144356867,0.0792379480405427,0.1586
16:40:25.496,193,0.0501417450237263,2.45430043555786,0.0830776723949302,0.1586
16:40:25.607,111,0.0515888325725941,2.47184545444103,0.0815068760681352,0.1586
16:40:25.800,193,0.0540863048365344,2.5023531987003,0.0818559419185341,0.1586
16:40:26.7,207,0.0567877832945932,2.53507205795135,0.0829031394697306,0.1586
16:40:26.199,192,0.0589079383931697,2.5605873238249,0.0829031394697306,0.1081
16:40:26.408,209,0.0603409370217291,2.57769676127391,0.0848230016469245,0.0562
16:40:26.599,191,0.0612503526378665,2.58839236845056,0.0848230016469245,0.0562
16:40:26.807,208,0.0622457930281079,2.60003950632103,0.0856956662729216,0.0562
16:40:26.999,192,0.0632903818849875,2.61215776767939,0.0862192650485198,0.0705
16:40:27.207,208,0.0645556851337766,2.62676707625777,0.0865683308989189,0.0705
16:40:27.399,192,0.0657248342055783,2.64025249004647,0.0863937979737195,0.0705
16:40:27.606,207,0.0669840542848503,2.65479156178582,0.0863937979737195,0.0705
16:40:27.798,192,0.068153203356652,2.66827697557452,0.0865683308989189,0.0705
16:40:28.6,208,0.0691988845506647,2.68031644984955,0.0867428638241181,0.0457
16:40:28.198,192,0.0699590470126792,2.68905785982686,0.0867428638241181,0.0457
16:40:28.406,208,0.0707833827415067,2.69852764869874,0.0869173967493178,0.0457
16:40:28.598,192,0.0715458336703221,2.70726885933313,0.087091929674517,0.0457
16:40:28.806,208,0.0723743012859659,2.71673828751109,0.087440995524916,0.0457
16:40:28.998,192,0.0731405662176526,2.72547916466469,0.087440995524916,0.0457
16:40:29.190,192,0.0739068311493392,2.7342200418183,0.087440995524916,0.0457
16:40:29.399,209,0.0747409424551855,2.74373485080322,0.087440995524916,0.0457
