Time of Day,Change in Time (ms),X (m),Y (m),Yaw (rad),Velocity (m/s)
16:25:53.626,154,0,0,-0.00087266462599711,0
16:25:53.813,187,0,0,-0.000523598775598266,0
16:25:54.21,208,0,0,-0.00069813170079791,0
16:25:54.213,192,0,0,-0.00069813170079791,0
16:25:54.421,208,0,0,-0.00104719755119653,0
16:25:54.612,191,0,0,-0.000523598775598266,0
16:25:54.821,209,0,0,-0.00069813170079791,0
16:25:55.12,191,0,0,-0.00087266462599711,0
16:25:55.220,208,0,0,-0.00087266462599711,0
16:25:55.413,193,0,0,-0.00069813170079791,0
16:25:55.621,208,0,0,-0.000523598775598266,0
16:25:55.812,191,0,0,-0.000349065850398844,0
16:25:56.21,209,0,0,-0.000523598775598266,0
16:25:56.212,191,0,0,-0.000174532925199422,0
16:25:56.420,208,0,0,-0.00069813170079791,0
16:25:56.612,192,0,0,-0.000174532925199422,0
16:25:56.820,208,0,0,-0.000523598775598266,0
16:25:57.12,192,0,0,-0.000523598775598266,0
16:25:57.220,208,0,0,-0.00139626340159538,0
16:25:57.412,192,0,0,-0.00157079632679502,0
16:25:57.620,208,0,0,0.00122173047639595,0
16:25:57.812,192,1.80955662431732E-07,0.000115199857877726,0.00157079632679502,0.0012
16:25:58.19,207,9.86616494344915E-07,0.000508499011984418,0.00226892802759249,0.0026
16:25:58.213,194,1.99901146581222E-06,0.00101289797869509,0.00174532925199422,0.0026
16:25:58.403,190,9.46360863928426E-06,0.00797639391975979,0.00104719755119653,0.0707
16:25:58.612,209,1.46269805707352E-05,0.0301094896441752,-0.000174532925199422,0.1411
16:25:58.805,193,-1.50342042507403E-05,0.0593586156263748,-0.00174532925199422,0.162
16:25:59.11,206,-0.000126278506335997,0.0941415038834832,-0.00453785605518542,0.1757
16:25:59.204,193,-0.000404684811938093,0.130018956843269,-0.0106465084371654,0.1961
16:25:59.412,208,-0.000983003369829135,0.172426038066557,-0.0164060949687466,0.2117
16:25:59.604,192,-0.00176282223986894,0.215580539756682,-0.0195476876223366,0.2379
16:25:59.812,208,-0.00289695381989238,0.266746208085136,-0.0246091424531201,0.2542
16:26:0.3,191,-0.00420112540818648,0.316006864464799,-0.0282743338823082,0.2618
16:26:0.212,209,-0.0057062982697055,0.371298200589561,-0.0261799387799149,0.2675
16:26:0.403,191,-0.00694850283643493,0.424677590924087,-0.0205948851735331,0.2916
16:26:0.611,208,-0.008101936185571,0.487233220929706,-0.0164060949687466,0.31
16:26:0.803,192,-0.0089865309675512,0.54610331786394,-0.0136135681655558,0.3033
16:26:1.11,208,-0.0100623281175948,0.610126764178225,-0.0198967534727355,0.3124
16:26:1.203,192,-0.0112351734801016,0.670960247882647,-0.0186750229963393,0.3214
16:26:1.411,208,-0.0124390758888833,0.738975962633345,-0.0167551608191454,0.3327
16:26:1.603,192,-0.0136316301355392,0.805464425786845,-0.0190240888467383,0.36
16:26:1.811,208,-0.0134419096245304,0.804906755859792,-0.023736477827123,-0.3654
16:26:2.3,192,-0.0134280543402624,0.805915349035612,-0.0226892802759262,0.3759
16:26:2.211,208,-0.0154757402289915,0.88817448632281,-0.0268780704807128,0.4153
16:26:2.403,192,-0.0176926881782775,0.967554691108982,-0.0289724655831058,0.4119
16:26:2.611,208,-0.0203908907336929,1.0557365119829,-0.0321140582366957,0.4364
16:26:2.802,191,-0.0231988195905886,1.14012130325336,-0.0343829862642884,0.4477
16:26:3.11,209,-0.0265708484460064,1.2352087297564,-0.0364773813666814,0.4628
16:26:3.202,191,-0.0298508277031438,1.32381022686451,-0.0375245789178782,0.4656
16:26:3.410,208,-0.0335052790248021,1.41835876719294,-0.0397935069454707,0.4442
16:26:3.606,196,-0.036876670631569,1.50415033740188,-0.0387463093942741,0.4319
16:26:3.810,204,-0.0403946463702896,1.59619932342144,-0.0376991118430774,0.4712
16:26:4.2,192,-0.0437480085437903,1.6863577699654,-0.0366519142918809,0.4686
16:26:4.209,207,-0.0472456747118456,1.78242491526852,-0.0361283155162826,0.4602
16:26:4.402,193,-0.050478874800331,1.87040245837225,-0.0373500459926785,0.4521
16:26:4.610,208,-0.0539379097692674,1.96297065330401,-0.0373500459926785,0.4386
16:26:4.802,192,-0.05703057983825,2.04858514901699,-0.0349065850398866,0.4538
16:26:5.10,208,-0.0603513916976701,2.14274019960919,-0.0356047167406843,0.4521
16:26:5.202,192,-0.0634409130963748,2
