Time of Day,Change in Time (ms),X (m),Y (m),Yaw (rad),Velocity (m/s)
16:29:52.736,155,0,0,-0.000349065850398844,0
16:29:52.940,204,0,0,-0.000174532925199422,0
16:29:53.132,192,0,0,0,0
16:29:53.324,192,0,0,0,0
16:29:53.436,112,0,0,0,0
16:29:53.628,192,0,0,-0.000174532925199422,0
16:29:53.836,208,0,0,-0.000349065850398844,0
16:29:54.29,193,0,0,0.000174532925199422,0
16:29:54.236,207,0,0,0.000174532925199422,0
16:29:54.427,191,0,0,0.000174532925199422,0
16:29:54.636,209,0,0,0,0
16:29:54.827,191,0,0,0,0
16:29:55.35,208,0,0,-0.000349065850398844,0
16:29:55.227,192,0,0,-0.000698131700797688,0
16:29:55.435,208,0,0,-0.000698131700797688,0
16:29:55.627,192,0,0,-0.000523598775598266,0
16:29:55.835,208,0,0,-0.000698131700797688,0
16:29:56.27,192,0,0,-0.000523598775598266,0
16:29:56.235,208,0,0,-0.000349065850398844,0
16:29:56.426,191,0,0,-0.000349065850398844,0
16:29:56.635,209,0,0,-0.000523598775598266,0
16:29:56.827,192,0,0,0,0
16:29:57.34,207,0,0,0,0
16:29:57.226,192,-8.04247572326226E-08,7.67999578896917E-05,-0.00104719755119653,0.0008
16:29:57.418,192,-1.13935065124371E-07,0.000287999907591267,0.000349065850398844,0.0014
16:29:57.530,112,-2.50768758992467E-07,0.000444799730864488,-0.00209439510239329,0.0014
16:29:57.722,192,-8.5479137728743E-06,0.00344958824411451,-0.00279252680319075,0.0299
16:29:57.930,208,-2.93113092321002E-05,0.0128511645237259,-0.00191986217719364,0.0605
16:29:58.122,192,-5.18553654799068E-05,0.0251871438772504,-0.00174532925199444,0.068
16:29:58.330,208,-8.86700375635481E-05,0.0400486946658775,-0.00314159265358982,0.0749
16:29:58.523,193,-0.00013194154089312,0.0551315820789088,-0.00261799387799155,0.0814
16:29:58.730,207,-0.000163524887380911,0.0726540982189039,-0.00104719755119653,0.0879
16:29:58.922,192,-0.000177141804745126,0.0902220923405679,-0.000523598775598266,0.0951
16:29:59.129,207,-0.000194801322022917,0.110301083351964,-0.00122173047639618,0.0989
16:29:59.321,192,-0.000197704989610956,0.129760272471859,0.00087266462599711,0.1038
16:29:59.529,208,-0.000156849796450691,0.153420229956718,0.00244346095279213,0.1237
16:29:59.721,192,-7.42671325425118E-05,0.178639286992078,0.00401425727958715,0.139
16:29:59.930,209,6.01004681083627E-05,0.208191577474227,0.00506145483078346,0.1438
16:30:0.120,190,0.000190758641620571,0.235950268285833,0.00436332312998577,0.1484
16:30:0.329,209,0.000274499548376721,0.266808962245599,0.00104719755119675,0.1469
16:30:0.520,191,0.000256558252205022,0.295220167533096,-0.00226892802759271,0.1506
16:30:0.728,208,0.000267692305654595,0.294169792382712,-0.00279252680319075,-0.1607
16:30:0.920,192,0.000198576402160828,0.295225470684026,-0.00680678408277791,0.1717
16:30:1.128,208,-8.31944189274753E-05,0.332206785862002,-0.0083775804095727,0.1839
16:30:1.321,193,-0.000331516909642444,0.367795084828315,-0.00558505360638195,0.1849
16:30:1.513,192,-0.000561106223067042,0.40377514123383,-0.00715584993317675,0.1899
16:30:1.624,111,-0.000695852342504564,0.424936855716877,-0.00558505360638195,0.1914
16:30:1.817,193,-0.000896323405004601,0.46199231287942,-0.00523598775598288,0.1926
16:30:2.25,208,-0.00108902544905765,0.502988654370078,-0.00418879020478657,0.2016
16:30:2.216,191,-0.00128034876539078,0.542697086053378,-0.00541052068118231,0.2142
16:30:2.424,208,-0.00160701694773694,0.589579096510678,-0.0083775804095727,0.2366
16:30:2.616,192,-0.00200823558990123,0.634265287024141,-0.00959931088596866,0.2289
16:30:2.824,208,-0.00248647216579868,0.681915682670888,-0.010471975511966,0.2293
16:30:3.16,192,-0.00297698743158426,0.725516110103936,-0.0120427718387608,0.2249
16:30:3.224,208,-0.00355364382089997,0.772707786304341,-0.0123918376891599,0.2289
16:30:3.416,192,-0.0041365442053084,0.815615795162456,-0.014835298641952,0.2181
16:30:3.624,208,-0.00487032698002895,0.861286666700642,-0.0172787595947439,0.2211
16:30:3.817,193,-0.00566643174388433,0.903372379857384,-0.0205948851735331,0.2151
16:30:4.24,207,-0.00661481718143543,0.947556685985059,-0.0223402144255274,0.2119
16:30:4.216,192,-0.00753860146578231,0.987664439061846,-0.0237364778271227,0.206
16:30:4.425,209,-0.00753760533178458,0.988678413647271,-0.0249582083035189,-0.1963
16:30:4.615,190,-0.00746103985329222,0.987302344264878,-0.022514747350727,0.1818
16:30:4.823,208,-0.0083092982053481,1.02588741600166,-0.0214675497995303,0.1893
16:30:5.16,193,-0.00900362788833886,1.06181722230186,-0.0171042266695445,0.1831
16:30:5.223,207,-0.0095421544986865,1.10026352153782,-0.0109955742875645,0.1884
16:30:5.415,192,-0.00983861750626375,1.13638696417694,-0.00541052068118231,0.1879
16:30:5.607,192,-0.00993621416634779,1.17238670015192,0,0.1871
16:30:5.815,208,-0.00981467302947802,1.21118871831792,0.00628318530717964,0.186
16:30:6.7,192,-0.00947221209534873,1.24595799843941,0.0136135681655558,0.1762
16:30:6.214,207,-0.00888892492618657,1.28102912547116,0.0198967534727355,0.1627
16:30:6.407,193,-0.00821752473020065,1.31131294985711,0.0246091424531201,0.1512
16:30:6.615,208,-0.00740127807190994,1.34184676900339,0.0289724655831058,0.1425
16:30:6.807,192,-0.00655783976241833,1.36826198381035,0.0350811179650858,0.1328
16:30:7.14,207,-0.00551456443159285,1.39573166560255,0.0408407044966674,0.1328
16:30:7.208,194,-0.00444204087737718,1.42050157736231,0.0459021593274509,0.1228
16:30:7.414,206,-0.00327680852546727,1.44484345478699,0.0499164166070378,0.1138
16:30:7.606,192,-0.00219785768708722,1.4655801550424,0.0542797397370236,0.1025
16:30:7.815,209,-0.00100762220957781,1.48696954632419,0.0568977336150149,0.1025
16:30:8.6,191,9.20809848004669E-05,1.50585609112358,0.0595157274930067,0.0956
16:30:8.214,208,0.00129562592080231,1.5257044239759,0.0616101225954,0.0956
16:30:8.406,192,0.00228215433616413,1.54226381818888,0.0568977336150149,0.0772
16:30:8.614,208,0.00318271074124743,1.55829614044327,0.0553269372882204,0.0772
16:30:8.808,194,0.00398089091276947,1.57325162582589,0.0513126800086332,0.0772
16:30:9.15,207,0.00481584739824599,1.58921019081492,0.0532325421858271,0.0772
16:30:9.207,192,0.00562129946680735,1.60401068087319,0.0555014702134196,0.0772
16:30:9.416,209,0.00631603457744419,1.61640582378944,0.0568977336150149,0.0416
16:30:9.607,191,0.0067727229884586,1.6243382869313,0.0581194640914111,0.0416
16:30:9.815,208,0.00727910504067002,1.63297625606778,0.0589921287174082,0.0416
16:30:10.6,191,0.00757030341385528,1.63789544446611,0.0596902604182061,0.01
16:30:10.215,209,0.00769552816825342,1.63998168952878,0.0602138591938044,0.01
16:30:10.406,191,0.0078106335300338,1.64188821797806,0.0603883921190038,0.01
16:30:10.614,208,0.00793634623840373,1.64396441553176,0.0605629250442032,0.01
16:30:10.806,192,0.00805339218363194,1.64588084438378,0.0614355896702004,0.01
16:30:11.14,208,0.00811724501223588,1.64691888234854,0.0616101225954,0
16:30:11.205,191,0.00811724501223588,1.64691888234854,0.0617846555205992,0
16:30:11.414,209,0.00811724501223588,1.64691888234854,0.0623082542961975,0
16:30:11.605,191,0.00811724501223588,1.64691888234854,0.0624827872213971,0
16:30:11.813,208,0.00811724501223588,1.64691888234854,0.0624827872213971,0
16:30:12.5,192,0.00811724501223588,1.64691888234854,
