701780,0,2056
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,2,0
0,14,76
0,2,644
0,0,2160
0,0,328
0,0,0
0,3,0
0,138,0
36,214,764
548,0,4416
1752,0,6660
2844,130,2648
3232,1333,0
2712,2125,680
2144,180,2572
808,228,4900
304,1842,3228
0,3189,928
0,1033,3244
0,1701,5456
0,7522,4988
0,7688,4516
52,2617,10260
512,7786,12888
1108,8455,11340
1736,5505,7104
2128,6176,7608
2732,7041,7692
2820,7906,12860
2644,11099,16708
2704,11802,14360
2364,9018,11360
3244,9383,9880
2928,12227,11148
2708,15615,15632
3140,16523,17508
2848,14780,13412
2160,16491,10392
1444,13055,12852
1776,12360,15976
1448,13782,14412
1344,16633,13204
2352,16011,9756
2796,12871,15188
3080,16337,14004
3004,15967,13840
2976,18412,9452
2976,14806,9304
2516,14495,9220
2212,11319,12804
2528,14658,14244
2716,13001,13184
3224,12705,10120
3544,12500,13580
2532,13022,12064
3448,14639,10780
3132,12421,11440
2808,12457,12304
3796,10794,11516
3468,11397,9388
4180,11300,8080
4092,9452,8832
4048,11960,10260
4468,10970,10324
4028,10562,10084
3980,10297,11072
4008,9197,9636
4160,9048,8700
4400,9603,10836
4732,8902,9492
3972,9952,8168
4460,9823,7584
4232,8998,8324
4224,8655,10820
4116,8738,11212
4276,8695,10116
4184,8711,8536
4280,9538,7488
3716,9446,8792
4440,8421,8696
4288,8651,8768
4004,8481,9276
4540,9058,8332
3552,8540,9576
4272,9346,8868
4984,8679,7944
4328,8640,7348
4128,8624,8536
4840,8504,8604
5020,8579,8484
5104,8881,9240
5708,8560,8552
5524,8167,8320
5268,8221,8512
5240,8453,7320
4600,8882,7820
5044,8716,8900
5080,8064,9032
4188,8037,7516
4516,7820,7556
4720,8383,7664
4580,8788,7964
4456,8281,7948
4568,8074,7924
4876,7944,8148
4992,8080,7604
4544,8159,6840
5208,7853,7084
5464,7810,7344
4836,7349,7332
4992,7824,7640
4680,7819,7540
4488,7844,7120
3844,7096,6016
4016,7437,6936
3904,7052,7412
4060,7371,6880
3908,7077,6112
3992,6674,5916
4220,6951,6236
4612,6799,6356
4204,7044,6240
4496,7116,6456
4420,6464,5252
3976,7107,5504
4052,6867,5840
3320,6481,5624
3788,6000,5332
2988,5959,5324
3440,6515,5244
3420,5966,4788
2980,6089,5360
3652,5681,5384
3628,5904,4036
3612,5688,4216
4060,5442,4632
3636,5421,4532
3172,5474,4768
3132,5181,3876
3308,4974,3604
3048,5075,4156
2948,5158,4432
2932,4877,4244
2724,4446,3972
3524,4517,3788
2856,4767,4256
3432,4215,4460
3300,4236,3268
2620,4510,3388
2548,4285,3420
2612,4040,3764
2568,4014,3844
2504,3852,3076
2700,3927,3128
2564,3667,3212
2892,3477,3304
2736,3465,3144
2352,3715,3044
2356,3269,2452
2192,2997,3392
1956,3368,2868
2164,2930,2328
2032,2858,2776
2232,2759,2672
2316,2918,2784
2424,2751,2216
2352,2340,2404
2032,2454,2568
1920,2268,2444
1788,2247,2612
2060,2003,1948
1552,2179,2556
1656,2040,2324
1984,1800,2312
1928,2212,2300
2000,1727,2428
1552,1769,2152
1756,1771,1828
1468,1807,1904
1572,1650,1968
1448,1651,1960
1476,1655,1860
1712,1548,1424
1508,1497,1776
1432,1540,1948
1328,1418,1816
1404,1322,1752
1372,1469,1708
1096,1237,1620
1220,1230,1296
1680,1333,1736
1396,1098,1516
1336,1116,1556
1144,1144,1232
988,984,1528
1136,1114,1620
940,978,1412
1204,960,1132
1388,1017,1476
872,924,1444
976,842,1168
876,861,1412
836,759,1112
848,770,1512
848,813,1116
1168,728,1268
912,737,1168
772,787,1336
764,766,1212
728,566,1344
872,612,892
716,791,1360
980,589,1224
828,561,1076
760,774,840
568,591,912
612,524,832
780,507,912
560,509,968
888,475,976
608,482,900
812,446,752
592,426,724
460,332,636
596,447,836
624,512,784
748,390,680
396,351,512
320,311,912
640,280,440
588,356,644
384,344,796
540,313,648
380,348,592
516,310,560
548,314,568
244,266,352
256,277,572
11368,4439,14592
