Time of Day,Change in Time (ms),X (m),Y (m),Yaw (rad),Velocity (m/s)
17:3:0.913,177,0,0,0.000349065850398844,0
17:3:1.108,195,0,0,0.000523598775598266,0
17:3:1.312,204,0,0,0.000349065850398844,0
17:3:1.505,193,0,0,0,0
17:3:1.713,208,0,0,-0.000174532925199422,0
17:3:1.905,192,0,0,0,0
17:3:2.112,207,0,0,0.000174532925199422,0
17:3:2.305,193,0,0,0.000349065850398844,0
17:3:2.512,207,0,0,0.000698131700797688,0
17:3:2.704,192,0,0,0.000698131700797688,0
17:3:2.912,208,0,0,0.000349065850398844,0
17:3:3.104,192,0,0,0.000523598775598266,0
17:3:3.312,208,0,0,0.000349065850398844,0
17:3:3.504,192,0,0,0.000349065850398844,0
17:3:3.711,207,0,0,0.000349065850398844,0
17:3:3.905,194,0,0,0,0
17:3:4.111,206,0,0,0.000174532925199422,0
17:3:4.303,192,0,0,0,0
17:3:4.513,210,0,0,-0.000349065850398844,0
17:3:4.704,191,0,0,-0.000349065850398844,0
17:3:4.911,207,0,0,-0.000523598775598488,0
17:3:5.103,192,0,0,-0.000523598775598488,0
17:3:5.311,208,0,0,-0.00104719755119675,0
17:3:5.503,192,0,0,-0.000349065850398844,0
17:3:5.711,208,1.38858236668654E-06,0.000530398182348894,0.00261799387799155,0.0051
17:3:5.903,192,3.61031464968923E-06,0.00150959560221622,0.00191986217719364,0.0051
17:3:6.111,208,0.000187767076495738,0.0239000274916178,0.0083775804095727,0.2102
17:3:6.303,192,0.000688827448360474,0.067855401467673,0.0139626340159544,0.2477
17:3:6.494,191,0.00138963775702358,0.116192414789997,0.0150098315671512,0.2585
17:3:6.701,207,0.00202629150133737,0.172875427810751,0.00785398163397444,0.2892
17:3:6.894,193,0.0023121321380389,0.232607997266925,0.00209439510239307,0.3298
17:3:7.102,208,0.00236098846082007,0.299823114018959,-0.000698131700797688,0.3165
17:3:7.295,193,0.00240981797644047,0.363860433112941,0.00209439510239307,0.3471
17:3:7.502,207,0.00246425968103511,0.439508498875773,-0.000523598775598488,0.3838
17:3:7.694,192,0.0023381788942553,0.51714355403875,-0.00261799387799155,0.4249
17:3:7.901,207,0.00168565103903255,0.606398614321569,-0.0118682389135614,0.4375
17:3:8.92,191,0.00073989263552389,0.691865855373998,-0.0102974425867668,0.4575
17:3:8.300,208,0.000689291137125645,0.690086888112915,-0.00890117918517097,-0.4746
17:3:8.492,192,0.000570937223062439,0.693733904164336,-0.0106465084371654,0.5126
17:3:8.700,208,-0.000603418198273232,0.797425629075302,-0.012042771838761,0.4845
17:3:8.893,193,-0.00177373687654417,0.892499873057773,-0.0125663706143593,0.5008
17:3:9.100,207,-0.00307045008153312,0.997151038105612,-0.0122173047639604,0.5104
17:3:9.293,193,-0.00429736376108879,1.09546722954447,-0.0127409035395585,0.5085
17:3:9.501,208,-0.00561442409694601,1.20099820758075,-0.0122173047639604,0.5063
17:3:9.693,192,-0.0067421281222538,1.2981532448946,-0.0109955742875643,0.5058
17:3:9.900,207,-0.00790108018779818,1.40529017497401,-0.0106465084371654,0.5294
17:3:10.95,195,-0.00884749630011797,1.50743644108917,-0.00785398163397466,0.5183
17:3:10.302,207,-0.00967753798715532,1.61553900284364,-0.00750491578357559,0.5262
17:3:10.493,191,-0.0103807971889937,1.71496155618135,-0.00663225115757848,0.5149
17:3:10.694,201,-0.0109507516148356,1.81867592338117,-0.004363323129986,0.5171
17:3:10.894,200,-0.0113548361090805,1.91907510409793,-0.00366519142918809,0.4869
17:3:11.100,206,-0.0116841775256114,2.01827385134724,-0.0029670597283904,0.4762
17:3:11.292,192,-0.0119552287155172,2.10962704923441,-0.0029670597283904,0.4754
17:3:11.500,208,-0.0122514286667815,2.20945620981262,-0.0029670597283904,0.4845
17:3:11.693,193,-0.0124907811765023,2.30425749863398,-0.00209439510239307,0.4979
17:3:11.901,208,-0.0126964094468032,2.4066556917808,-0.00191986217719387,0.4867
17:3:12.93,192,-0.0126426439921404,2.4077118310314,-0.00314159265358982,-0.4757
17:3:12.301,208,-0.0126428073546897,2.40776383077479,-0.00314159265358982,0.4762
17:3:12.493,192,-0.0129782616779899,2.50126722013942,-0.00401425727958693,0.4978
17:3:12.701,208,-0.0133811169800333,2.60383122857582,-0.00383972435438751,0.4884
17:3:12.894,193,-0.0136874178274535,2.69883496708132,-0.00261799387799155,0.4961
17:3:13.100,206,-0.0138909574082875,2.79989834326535,-0.0013962634015956,0.4851
17:3:13.292,192,-0.0140033007318035,2.89165507309379,-0.00104719755119675,0.4707
17:3:13.485,193,-0.0139752951733932,2.98037708223913,0.00174532925199444,0.4487
17:3:13.691,206,-0.0137904641124576,3.06922468458175,0.00244346095279191,0.4139
17:3:13.883,192,-0.0135631203984977,3.14627393862769,0.00349065850398866,0.3887
17:3:14.91,208,-0.0132081707667117,3.22382587652713,0.00575958653158115,0.357
17:3:14.283,192,-0.0127247723434067,3.29087046013025,0.00872664625997155,0.3414
17:3:14.491,208,-0.0120220640012612,3.35947557683597,0.0118682389135614,0.3183
17:3:14.683,192,-0.0112751186089284,3.41900047601918,0.013264502315157,0.3018
17:3:14.891,208,-0.0104072876350839,3.47944940801609,0.0155334303427495,0.2795
17:3:15.83,192,-0.00960961523119437,3.53052477935566,0.0157079632679489,0.2526
17:3:15.290,207,-0.00881749112040645,3.57967054144079,0.016580627893946,0.2223
17:3:15.483,193,-0.00814946914494323,3.61956769868257,0.0169296937443448,0.1912
17:3:15.691,208,-0.00746233402175201,3.65933135969067,0.0176278254451427,0.1912
17:3:15.883,192,-0.00686552962950345,3.69303167552442,0.0178023583703422,0.1599
17:3:16.91,208,-0.00626766481870512,3.72628550099777,0.018151424220741,0.1599
17:3:16.283,192,-0.00579000897302217,3.75219149632795,0.0188495559215387,0.11
17:3:16.492,209,-0.00535868924682328,3.77517744984893,0.0186750229963393,0.11
17:3:16.682,190,-0.00496293332677356,3.79607370184093,0.0191986217719378,0.11
17:3:16.890,208,-0.00452169955931912,3.81894944682937,0.019373154697137,0.11
17:3:17.83,193,-0.00410858089604638,3.84017542689008,0.0195476876223364,0.11
17:3:17.291,208,-0.00379793028052896,3.85594916775372,0.0200712863979349,0.0417
17:3:17.483,192,-0.00363584522862539,3.86395392680339,0.0204203522483335,0.0417
17:3:17.691,208,-0.00354729239957986,3.86828982263199,0.0221656815003282,0
17:3:17.884,193,-0.00354729239957986,3.86828982263199,0.0216420827247297,0
17:3:18.90,206,-0.00354729239957986,3.86828982263199,0.0216420827247297,0
17:3:18.283,193,-0.00354
